status,line,reason,raw_row
adjusted,1706,"Invalid tender -> 0 used"," |  | 5/16/2025 | GLTA-7715 | 1502 | Faisal Imran Mandi | Mangat | 20,000 | - | "
adjusted,2104,"Invalid tender -> 0 used"," |  | 6/14/2025 | C-8078 | 2244 | Indus Cattle Feed | Chak 69 Choki Bhagat | 8,500 |  | "
adjusted,2255,"Invalid freight -> 0 used"," |  | 6/23/2025 | E-5847 | 650 | Sohail Alpa | 87 Janubi |  |  | "
adjusted,2255,"Invalid tender -> 0 used"," |  | 6/23/2025 | E-5847 | 650 | Sohail Alpa | 87 Janubi |  |  | "
adjusted,2256,"Invalid freight -> 0 used"," |  | 6/23/2025 | LXP-4518 | 1 | R Co Layer | Chak 77 choki Bhagat |  |  | "
adjusted,2256,"Invalid tender -> 0 used"," |  | 6/23/2025 | LXP-4518 | 1 | R Co Layer | Chak 77 choki Bhagat |  |  | "
adjusted,2550,"Invalid tender -> 0 used"," |  | 7/15/2025 | P-3495 | 882 | Indus Cattle Feed | Choki Bhagat | 18,000 | - | "
adjusted,2661,"Invalid tender -> 0 used"," |  | 7/23/2025 | LXK-8121 | 758 | Indus Cattle Feed | Chak 69 Choki Bhagat | 32,000 | - | "
adjusted,3059,"Invalid tender -> 0 used"," |  | 8/20/2025 | LWC-2277 | 825 | Nasiyal P.F Noshehra | Sodhi  + Haq Baho | 37,000 |  | "
adjusted,3266,"Invalid tender -> 0 used"," |  | 9/4/2025 | SGI-499 | 1398 | Nasiyal P.F Noshehra | Katora + Jhalar + Azal | 46,000 |  | "
adjusted,3404,"Invalid freight -> 0 used"," |  | 9/11/2025 | TKJ-265 | 1503 | Nasiyal P.F Noshehra | 4 Stop Wadi.e.soon |  | 39,132 | "
adjusted,3469,"Invalid freight -> 0 used"," |  | 9/15/2025 | FDR-2276 | 1575 | Indus Cattle | Malik Ismail |  |  | "
adjusted,3469,"Invalid tender -> 0 used"," |  | 9/15/2025 | FDR-2276 | 1575 | Indus Cattle | Malik Ismail |  |  | "
adjusted,3500,"Invalid freight -> 0 used"," |  | 9/18/2025 | SEB-067 | 1607 | Nasiyal P.F Noshehra | Wadi.e.soon 4 Stop |  | 40,229 | "
adjusted,3528,"Invalid freight -> 0 used"," |  | 9/22/2025 | CAL-954 | 1637 | Nasiyal P.F Noshehra | Wadi.e.soon 4 Stop |  | 40,229 | "
