status,line,reason,raw_row
adjusted,1,"Invalid date -> today used","Date | Vehicle No | Bilty | Distribution | City | Bags | Amount | Company Rate | NPL Rate | Market rate | Date | Paid | Fuel Ltr | Fuel | To pay | Bilty Comm | Reciving Pay | Date |  |  | Payment | Detail | Final Balance | Fixed Cost | Dedicated Balance | ss |  | Fixed Cost | sdd | Ledger | "
adjusted,1,"Invalid freight -> 0 used","Date | Vehicle No | Bilty | Distribution | City | Bags | Amount | Company Rate | NPL Rate | Market rate | Date | Paid | Fuel Ltr | Fuel | To pay | Bilty Comm | Reciving Pay | Date |  |  | Payment | Detail | Final Balance | Fixed Cost | Dedicated Balance | ss |  | Fixed Cost | sdd | Ledger | "
adjusted,1,"Invalid tender -> 0 used","Date | Vehicle No | Bilty | Distribution | City | Bags | Amount | Company Rate | NPL Rate | Market rate | Date | Paid | Fuel Ltr | Fuel | To pay | Bilty Comm | Reciving Pay | Date |  |  | Payment | Detail | Final Balance | Fixed Cost | Dedicated Balance | ss |  | Fixed Cost | sdd | Ledger | "
adjusted,2,"Invalid freight -> 0 used","01-Jan-2026 | E-2522 | 146 | H & H P.F | Raja Rani Farooqa | 200 | Paid | 20,064 | 19,586 | 35,000 |  |  |  |  |  |  |  |  |  |  |  |  | 35,000 |  |  |  |  |  |  |  | "
adjusted,3,"Invalid freight -> 0 used","01-Jan-2026 | E-2522 | 147 | H & H P.F | Kot Musa | 200 | Paid | 20,064 | 20,064 | - |  |  |  |  |  |  |  |  |  |  |  |  | - |  |  |  |  |  |  |  | "
adjusted,4,"Invalid freight -> 0 used","01-Jan-2026 | SGI-5659 | 148 | Friends P.F | Mela Village Kotmomin | 200 | Paid | 19,586 | 19,586 | 20,500 |  |  |  |  |  |  |  |  |  |  |  |  | 20,500 |  |  |  |  |  |  |  | "
adjusted,5,"Invalid freight -> 0 used","01-Jan-2026 | TKS-903 | 149 | SP Mubashar Pf | National F Chota Sahiwal | 400 | Paid | 36,115 | 36,116 | 32,000 |  |  |  |  |  |  |  |  |  |  |  |  | 32,000 |  |  |  |  |  |  |  | "
adjusted,6,"Invalid freight -> 0 used","01-Jan-2026 | LWE-2277 | 150 | Sohail Alpa | Tarar F Purana Bhalwal Chowk Nabi | 400 | Paid | 28,377 | 28,377 | 31,000 |  |  |  |  |  |  |  |  |  |  |  |  | 31,000 |  |  |  |  |  |  |  | "
adjusted,7,"Invalid freight -> 0 used","01-Jan-2026 | GLT-8791 | 251 | Awan Pf | Sultan Sher Yar Kalar Kahar | 300 | Paid | 54,459 | 49,013 | 50,000 |  |  |  |  |  |  |  |  |  |  |  |  | 50,000 |  |  |  |  |  |  |  | "
adjusted,8,"Invalid freight -> 0 used","01-Jan-2026 | LEI-968 | 252 | AL Noor Pf | Zahid F Kuthyala Sheikhan | 400 | Paid | 49,873 | 49,873 | 41,000 |  |  |  |  |  |  |  |  |  |  |  |  | 41,000 |  |  |  |  |  |  |  | "
adjusted,9,"Invalid freight -> 0 used","01-Jan-2026 | RIR-6230 | 253 | Jhajha Pf | Mubaray Khan Chota Sahiwal | 400 | Paid | 36,115 | 36,116 | 32,000 |  |  |  |  |  |  |  |  |  |  |  |  | 32,000 |  |  |  |  |  |  |  | "
