status,line,reason,raw_row
adjusted,2,"Invalid date -> today used","20/Jan/26 | Done | 02/Jan/26 | LES-4151 | 14ft | 257685 | 1957385 | Adnan Traders | Shujabad |  |  | - | 28,000 |  |  |  |  |  |  |  |  |  | "
adjusted,2,"Invalid tender -> 0 used","20/Jan/26 | Done | 02/Jan/26 | LES-4151 | 14ft | 257685 | 1957385 | Adnan Traders | Shujabad |  |  | - | 28,000 |  |  |  |  |  |  |  |  |  | "
adjusted,3,"Invalid date -> today used","20/Jan/26 | Done | 02/Jan/26 | TLE-672 | 14ft | 257672 | 1957376 | Yasir & Brothers | Sukkur |  |  | - | 93,000 |  |  |  |  |  |  |  |  |  | "
adjusted,3,"Invalid tender -> 0 used","20/Jan/26 | Done | 02/Jan/26 | TLE-672 | 14ft | 257672 | 1957376 | Yasir & Brothers | Sukkur |  |  | - | 93,000 |  |  |  |  |  |  |  |  |  | "
adjusted,4,"Invalid date -> today used","20/Jan/26 | Done | 02/Jan/26 | TLE-672 | 14ft | 257673 | 1957376 | Handler Yasir & Brothers | Sukkur |  |  | - | - |  |  |  |  |  |  |  |  |  | "
adjusted,4,"Invalid freight -> 0 used","20/Jan/26 | Done | 02/Jan/26 | TLE-672 | 14ft | 257673 | 1957376 | Handler Yasir & Brothers | Sukkur |  |  | - | - |  |  |  |  |  |  |  |  |  | "
adjusted,4,"Invalid tender -> 0 used","20/Jan/26 | Done | 02/Jan/26 | TLE-672 | 14ft | 257673 | 1957376 | Handler Yasir & Brothers | Sukkur |  |  | - | - |  |  |  |  |  |  |  |  |  | "
adjusted,5,"Invalid date -> today used","20/Jan/26 | Done | 02/Jan/26 | TAK-213 | 14ft | 257680 | 1957384 | Zaid Traders | Jaranwala |  |  | - | 17,000 |  |  |  |  |  |  |  |  |  | "
adjusted,5,"Invalid tender -> 0 used","20/Jan/26 | Done | 02/Jan/26 | TAK-213 | 14ft | 257680 | 1957384 | Zaid Traders | Jaranwala |  |  | - | 17,000 |  |  |  |  |  |  |  |  |  | "
adjusted,6,"Invalid date -> today used","20/Jan/26 | Done | 02/Jan/26 | LRC-4976 | 14ft | 257697 | 1957377 | Abubakkar Traders | Lahore |  |  | - | 16,500 |  |  |  |  |  |  |  |  |  | "
adjusted,6,"Invalid tender -> 0 used","20/Jan/26 | Done | 02/Jan/26 | LRC-4976 | 14ft | 257697 | 1957377 | Abubakkar Traders | Lahore |  |  | - | 16,500 |  |  |  |  |  |  |  |  |  | "
adjusted,7,"Invalid date -> today used","20/Jan/26 | Done | 02/Jan/26 | LRC-4976 | 14ft | 257696 | 1957377 | Ithad Enterprises | Lahore |  |  | 3,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,7,"Invalid freight -> 0 used","20/Jan/26 | Done | 02/Jan/26 | LRC-4976 | 14ft | 257696 | 1957377 | Ithad Enterprises | Lahore |  |  | 3,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,8,"Invalid date -> today used","20/Jan/26 | Done | 02/Jan/26 | LES-8900 | 14ft | 257692 | 1957375 | Sitara Marketing | Lahore |  |  | - | 15,500 |  |  |  |  |  |  |  |  |  | "
adjusted,8,"Invalid tender -> 0 used","20/Jan/26 | Done | 02/Jan/26 | LES-8900 | 14ft | 257692 | 1957375 | Sitara Marketing | Lahore |  |  | - | 15,500 |  |  |  |  |  |  |  |  |  | "
adjusted,9,"Invalid date -> today used","20/Jan/26 | Done | 02/Jan/26 | LES-3984 | 14ft | 257693 | 1957386 | Sitara Marketing | Lahore |  |  | - | 16,500 |  |  |  |  |  |  |  |  |  | "
adjusted,9,"Invalid tender -> 0 used","20/Jan/26 | Done | 02/Jan/26 | LES-3984 | 14ft | 257693 | 1957386 | Sitara Marketing | Lahore |  |  | - | 16,500 |  |  |  |  |  |  |  |  |  | "
